,energy low [eV],energy high [eV],particle,surface,nuclide,score,mean,std. dev.
60,115000.00208616257,119999.99731779099,neutron,60,total,current,0.0024980000000000002,3.4215006454284064e-05
61,119999.99731779099,125000.0,neutron,60,total,current,0.0035110000000000002,4.445847000916407e-05
62,125000.0,129999.99523162842,neutron,60,total,current,0.005046,7.216031534791849e-05
63,129999.99523162842,135000.00536441803,neutron,60,total,current,0.002886000000000001,5.51402252846681e-05
64,135000.00536441803,140000.00059604645,neutron,60,total,current,0.008056,7.769169839821247e-05
65,140000.00059604645,148570.0011253357,neutron,60,total,current,0.0006820000000000001,3.31260219968127e-05
66,148570.0011253357,157140.00165462494,neutron,60,total,current,0.002363,4.025060386020502e-05
67,157140.00165462494,165710.00218391418,neutron,60,total,current,0.005376000000000001,6.713502149483356e-05
68,165710.00218391418,174290.0013923645,neutron,60,total,current,0.006013,0.00010436101869100347
69,174290.0013923645,182860.00192165375,neutron,60,total,current,0.008728,9.026873458981004e-05
70,182860.00192165375,191430.002450943,neutron,60,total,current,0.007125000000000001,8.919703532691276e-05
71,191430.002450943,200000.00298023224,neutron,60,total,current,0.0013490000000000002,2.4195959258612113e-05
72,200000.00298023224,209999.99344348907,neutron,60,total,current,0.003146000000000001,6.849493087488432e-05
73,209999.99344348907,219999.9988079071,neutron,60,total,current,0.008214000000000003,0.00010179718398198678
74,219999.9988079071,230000.00417232513,neutron,60,total,current,0.002315,6.579851399875714e-05
75,230000.00417232513,239999.99463558197,neutron,60,total,current,0.005328000000000001,8.56841746052155e-05
76,239999.99463558197,250000.0,neutron,60,total,current,0.005388000000000001,5.339163480046393e-05
77,250000.0,259999.99046325684,neutron,60,total,current,0.004614000000000001,4.8561530270595905e-05
78,259999.99046325684,270000.01072883606,neutron,60,total,current,0.006928000000000001,8.616263691414849e-05
79,270000.01072883606,280000.0011920929,neutron,60,total,current,0.009675000000000003,0.00013003631971276333
80,280000.0011920929,289999.99165534973,neutron,60,total,current,0.003053,3.313440642125655e-05
81,289999.99165534973,300000.01192092896,neutron,60,total,current,0.008135000000000002,0.00011814539065630852
82,300000.01192092896,319999.9928474426,neutron,60,total,current,0.03134100000000001,0.00019220041623254359
83,319999.9928474426,340000.0035762787,neutron,60,total,current,0.008739,9.851621411953576e-05
84,340000.0035762787,360000.01430511475,neutron,60,total,current,0.030814,0.00018759412452301928
85,360000.01430511475,379999.9952316284,neutron,60,total,current,0.020533999999999997,8.781546307790703e-05
86,379999.9952316284,400000.0059604645,neutron,60,total,current,0.004743000000000001,8.870738413457836e-05
87,400000.0059604645,419999.98688697815,neutron,60,total,current,0.005279,6.960922671919773e-05
88,419999.98688697815,439999.9976158142,neutron,60,total,current,0.009982000000000001,5.9194594347794745e-05
89,439999.9976158142,460000.00834465027,neutron,60,total,current,0.007658000000000001,0.00010206533855003645
90,460000.00834465027,479999.98927116394,neutron,60,total,current,0.014152999999999999,0.00011815291410337918
91,479999.98927116394,500000.0,neutron,60,total,current,0.010945000000000002,8.531314865441173e-05
92,500000.0,550000.011920929,neutron,60,total,current,0.023116,0.00010321713897304259
93,550000.011920929,600000.0238418579,neutron,60,total,current,0.034322000000000005,9.238566507363914e-05
94,600000.0238418579,649999.9761581421,neutron,60,total,current,0.064503,0.0001876050816656768
95,649999.9761581421,699999.988079071,neutron,60,total,current,0.036209000000000005,0.00016406942974787412
96,699999.988079071,750000.0,neutron,60,total,current,0.033004,0.00023115266720409944
97,750000.0,800000.011920929,neutron,60,total,current,0.016725,6.068589438887061e-05
98,800000.011920929,850000.0238418579,neutron,60,total,current,0.021377000000000007,0.00015173844455354898
99,850000.0238418579,899999.9761581421,neutron,60,total,current,0.023174999999999998,0.0001087223783568501
100,899999.9761581421,949999.988079071,neutron,60,total,current,0.024614000000000004,9.540789624901686e-05
101,949999.988079071,1000000.0,neutron,60,total,current,0.024159000000000003,0.0001874474741241847
102,1000000.0,1100000.023841858,neutron,60,total,current,0.034237,0.00020391201806455972
103,1100000.023841858,1200000.0476837158,neutron,60,total,current,0.039606999999999996,0.00012581335382241327
104,1200000.0476837158,1299999.9523162842,neutron,60,total,current,0.024987000000000002,0.00019264273207735572
105,1299999.9523162842,1399999.976158142,neutron,60,total,current,0.022221,0.0001784653716800104
106,1399999.976158142,1500000.0,neutron,60,total,current,0.018109,0.00013064328022010922
107,1500000.0,1600000.023841858,neutron,60,total,current,0.018187000000000002,0.00018282991488750584
108,1600000.023841858,1700000.0476837158,neutron,60,total,current,0.016944999999999998,0.00015826314233655429
109,1700000.0476837158,1799999.9523162842,neutron,60,total,current,0.015991000000000002,0.00014823742217581407
110,1799999.9523162842,1899999.976158142,neutron,60,total,current,0.01333,8.798989841014566e-05
111,1899999.976158142,2000000.0,neutron,60,total,current,0.010483000000000001,0.00011864091480878155
112,2000000.0,2250000.0,neutron,60,total,current,0.024242,0.00013287253708398243
113,2250000.0,2500000.0,neutron,60,total,current,0.020444000000000004,0.00013207068814335496
114,2500000.0,2750000.0,neutron,60,total,current,0.016693000000000003,0.0001306738943579326
115,2750000.0,3000000.0,neutron,60,total,current,0.014433000000000001,7.045960229488275e-05
116,3000000.0,3250000.0,neutron,60,total,current,0.011542,0.00012954450114836602
117,3250000.0,3500000.0,neutron,60,total,current,0.013026,0.00010765376599699211
118,3500000.0,3750000.0,neutron,60,total,current,0.012255669984547406,8.879899135717746e-05
119,3750000.0,4000000.0,neutron,60,total,current,0.010192999999999999,0.00015991004415678896
120,4000000.0,4250000.0,neutron,60,total,current,0.008522,0.0001075463724270745
121,4250000.0,4500000.0,neutron,60,total,current,0.00713,5.352050489715187e-05
122,4500000.0,4750000.0,neutron,60,total,current,0.003846000000000001,4.7145165888629293e-05
123,4750000.0,5000000.0,neutron,60,total,current,0.0034640000000000005,4.851574772975908e-05
124,5000000.0,5500000.0,neutron,60,total,current,0.005642,7.232334800510111e-05
125,5500000.0,6000000.0,neutron,60,total,current,0.004340000000000001,5.987023003499606e-05
126,6000000.0,6500000.0,neutron,60,total,current,0.0030830000000000002,5.483409320648951e-05
127,6500000.0,7000000.0,neutron,60,total,current,0.0023020000000000007,4.9053259037723576e-05
128,7000000.0,7500000.0,neutron,60,total,current,0.002257,5.918051481132513e-05
129,7500000.0,8000000.0,neutron,60,total,current,0.0016650000000000002,4.211756033875653e-05
130,8000000.0,8500000.0,neutron,60,total,current,0.001353,2.472290885438587e-05
131,8500000.0,9000000.0,neutron,60,total,current,0.000982,3.5144147608258876e-05
132,9000000.0,9500000.0,neutron,60,total,current,0.0007390000000000001,2.8458546851322056e-05
133,9500000.0,10000000.0,neutron,60,total,current,0.000616,2.212088003071599e-05
134,10000000.0,10500000.0,neutron,60,total,current,0.0004580000000000001,2.8276413413931237e-05
135,10500000.0,11000000.0,neutron,60,total,current,0.0003400000000000001,1.085254706406639e-05
136,11000000.0,12000000.0,neutron,60,total,current,0.000424,1.8630918149976305e-05
137,12000000.0,13000000.0,neutron,60,total,current,0.00017800000000000002,1.4742229591663991e-05
138,13000000.0,14000000.0,neutron,60,total,current,0.000101,1.00498756211209e-05
139,14000000.0,15000000.0,neutron,60,total,current,3.7000000000000005e-05,6.50640709864771e-06
140,15000000.0,16000000.0,neutron,60,total,current,4.800000000000001e-05,5.120763831912406e-06
141,16000000.0,17000000.0,neutron,60,total,current,1.8e-05,4.898979485566356e-06
142,17000000.0,18000000.0,neutron,60,total,current,3.4000000000000007e-05,4.52155332208351e-06
143,18000000.0,19000000.0,neutron,60,total,current,3.600000000000001e-05,3.999999999999999e-06
144,19000000.0,20000000.0,neutron,60,total,current,1.1e-05,2.333333333333334e-06
